Categoria;Codigo;Texto breve de material;Ubicación;Imagen
Rep.Herra.Varios;10000209;CINTA METRICA DE  5mts;C.C.E5C;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3emBLhvDumnqMvhghaP0GX40qYgzu5XSWCg&s
Acero;10000227;"CODO AC SCH40 D 1"" X 90 GR RADIO LARGO";6B2;https://hfittings.com/wp-content/uploads/2024/04/50588aa425.webp
Acero;10000228;"CODO AC SCH40 D 4"" X 90 GR RADIO LARGO";6A2;https://http2.mlstatic.com/D_Q_NP_2X_923707-MLV80571367641_112024-T.webp
Acero;10000229;"CODO AC SCH40 D 6"" X 90 GR RADIO LARGO";6A2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP7rd81fU08chsVXOoCU7uh0DZyP_Nfl52XQ&s
Galvanizados;10000234;"CODO HIERRO GALV D 1-1/2""x90 GR";4A2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuuPX0A05X0roVZ1k2HFRJsR_gbjgXi4OggJz-ejqaSA&s
Galvanizados;10000235;"CODO HIERRO GALV D 1""x90 GR";4A3;https://edemco.co/uploads/imageproducts/8671129.webp
Galvanizados;10000236;"CODO HIERRO GALV D  1/2""x90 GR";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyLbNX0qDYFga7W95ANzLhNAZZ5U5q_Lrqjw&s
Galvanizados;10000237;"CODO HIERRO GALV D  3/4""x90 GR";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWYafLO-phUun6DRbt2CeJG-ddWPJGlJdGWPPHXpKagw&s
Galvanizados;10000238;"CODO HIERRO GALV D  3/8""x90 GR";3B2;https://media.falabella.com/sodimacCO/145405/public
Estaciones;10000239;"CODO AC INOX D 1/4"" OD X 1/4"" NPTM";C.C.E4C;https://www.swagelok.com/assets/images/product_images/large/SS-810-2-8.jpg?impolicy=superZoom
Polietileno;10000240;"CODO PE80 2"" IPS x90 GR RDE11 SOCKET";1A1;https://i.ibb.co/ZzJrn76h/10000240.jpg
Polietileno;10000241;"CODO   PE80 3"" IPS x90 GR RDE11 TOPE";1A1;https://i.ibb.co/tw4HPgyr/10000241.jpg
Polietileno;10000242;"CODO   PE80 4"" IPS x90 GR RDE11 TOPE";BD2;https://i.ibb.co/ycTwMk3G/10000242.jpg
Acero;10000245;"CODO AC D 1"" X 90 GR 3000 LB ROSCADO";6B2;https://i.ibb.co/qYXhbZwg/10000245.jpg
Internas;10000257;"CONECTOR FLEXIBLE PG 1312 3/4""";5B1;https://i.ibb.co/j9mn19Lm/10000257.png
Acometidas;10000258;"CONECTOR LAT D M26X1.5 1-PIEZA 1/2""FLARE";2B2;https://www.tcl.com.pe/wp-content/uploads/2021/09/TC-M26-01.jpg
Estaciones;10000261;"CONECTOR AC INOX 1/4"" OD X 1/8"" NPTM";C.C.E4C;https://m.media-amazon.com/images/I/51-gkmFPMkL._AC_UF894,1000_QL80_.jpg
Estaciones;10000263;"CONECTOR AC INOX D 1/4"" OD x 1/4"" NPTM";C.C.E4C;https://image.made-in-china.com/202f0j00qOfWwCsMPHcJ/SS316-Double-Ferrules-1-4-Inch-Tube-to-1-4-NPT-Male-Thread-Connector-Stainless-Steel-Fittings.webp
Acometidas;10000278;"COPA LAT (TUERCA CONICA) D 1/2"" FLARE";3A2;https://www.toolferreterias.com/cdn/shop/products/51070002_b98b013f-8f00-41a0-a6d1-0d658ec85404.jpg?v=1707263371
Rep.Herra.Varios;10000280;"COPA 1-1/16"" CUADRANTE 1/2"" PROTO 5334";C.OF.P;https://resources.sears.com.mx/medios-plazavip/fotos/productos_sears1/original/2988050.jpg?scale=550
Rep.Herra.Varios;10000291;"COPA 7/8"" CUADRANTE 1/2"" PROTO 5328";C.OF.P;https://http2.mlstatic.com/D_NQ_NP_2X_720954-MLV76837158813_062024-N.webp
Rep.Herra.Varios;10000300;"LLAVE STD RATCHET DE 1-1/16"" MANDO 1/2""";C.OF.P;https://www.grupodebiase.com/6841-large_default/maquinarias-y-herramientas-ratchet-standar-1-2-truper-13410.jpg
Estaciones;10000301;CORRECT EAGLE E-SERIES 300 PSI 1 S/INDEX;C.C.E9A;https://i.ibb.co/3YP1pqn0/10000301.jpg
Rep.Herra.Varios;10000304;"CORTADOR TUBO AC INOX D 1/8"" A 1 1/4""";C.C.E5B;https://flamundial.com/cdn/shop/products/29963_800x.png?v=1656449051
Rep.Herra.Varios;10000306;"CORTA TUBO COBRE RIDGID 1/8""-2""  2A/202";C.C.E5A;https://m.media-amazon.com/images/I/71WZvhXKNCL._AC_UF894,1000_QL80_.jpg
Rep.Herra.Varios;10000327;70014P186 DIAFRAGMA REGULADOR AMCO;C.C.E9B;
Rep.Herra.Varios;10000333;"DOBLA TUBO COBRE FLEXIBLE D 1/2""";C.C.E5A;https://http2.mlstatic.com/D_NQ_NP_821279-MCO71310558395_082023-O.webp
Rep.Herra.Varios;10000334;"DOBLATUBO PARA TUBING AC INOX D 1/4"" OD";C.C.E5A;https://www.swagelok.com/assets/images/product_images/large/MS-HTB-4.jpg?impolicy=superZoom
Acometidas;10000341;"ELEVADOR VALV LAT D 1/2"" CTS X1/4"" NPTM";2B1;https://i.ibb.co/NdNCxcCg/10000341.jpg
Estaciones;10000345;"EMPAQUE FLEXITALICO BRIDA D  2"" ANSI 150";6B2;https://dqiz9ty3090k2.cloudfront.net/userfiles/images/products/fl/ex/se/al/_h/ea/ts/hi/el/d_/flexseal_heatshield_spiral_wound_gasket_lg.jpg
Estaciones;10000346;"EMPAQUE FLEXITALICO BRIDA D  3"" ANSI 150";6B2;https://5.imimg.com/data5/SELLER/Default/2021/9/QB/OF/CH/685445/caf-spiral-wound-gaskets.jpg
Estaciones;10000347;"EMPAQUE FLEXITALICO BRIDA D  3"" ANSI 300";6B2;https://i.ibb.co/sdGhMddY/10000347.jpg
Acero;10000348;"EMPAQUE FLEXITALICO BRIDA D  4"" ANSI 300";6B2;https://i.ibb.co/SDJxGK66/10000348.jpg
Estaciones;10000349;"EMPAQUE FLEXITALICO BRIDA D  4"" ANSI 150";6B2;https://i.ibb.co/7t0sT4p4/10000349.jpg
Acero;10000350;"EMPAQUE FLEXITALICO BRIDA D  6"" ANSI 300";6B2;https://i.ibb.co/YFSwBzWn/10000350.jpg
